,planning_area,subzone,region,tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi
0,BUKIT MERAH,DEPOT ROAD,CENTRAL REGION,18,0,0,0,27,1,0,0,0,0,0,0.09212378474401305,0.19787668044475057,0.3004344145511986
1,BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,13,0,1,0,29,1,0,0,0,0,0,0.07916134412827491,0.16906888659967953,0.24631075159417212
2,OUTRAM,CHINATOWN,CENTRAL REGION,6,0,1,0,53,1,0,1,0,0,0,0.04371251033075033,0.09754390599143668,0.14051442218795085
3,DOWNTOWN CORE,PHILLIP,CENTRAL REGION,1,0,0,0,4,1,0,1,0,0,0,0.03979514159771226,0.08574822903504715,0.12666961671032517
4,DOWNTOWN CORE,RAFFLES PLACE,CENTRAL REGION,1,0,1,0,17,1,0,2,0,0,0,0.04152273809782756,0.08863482179828502,0.13362298626693336
5,OUTRAM,CHINA SQUARE,CENTRAL REGION,1,0,0,0,13,1,0,1,0,0,0,0.042257766348912436,0.09219419437331632,0.1370421421768911
6,BUKIT MERAH,TIONG BAHRU,CENTRAL REGION,10,0,1,0,35,1,0,0,0,0,0,0.06418200454971547,0.13709247056794732,0.2073718222370575
7,DOWNTOWN CORE,BAYFRONT SUBZONE,CENTRAL REGION,4,0,4,1,21,5,0,20,0,0,0,0.05952820359025058,0.13011201029833291,0.19977877852043896
8,BUKIT MERAH,TIONG BAHRU STATION,CENTRAL REGION,12,0,1,0,24,1,0,1,0,0,0,0.07281914734155188,0.1482619579160364,0.20996257905278182
9,DOWNTOWN CORE,CLIFFORD PIER,CENTRAL REGION,1,0,1,0,8,1,0,18,0,0,0,0.046670772663470514,0.09515996465884584,0.14371532499234177
10,MARINA SOUTH,MARINA SOUTH,CENTRAL REGION,69,1,33,1,23,4,0,36,0,0,0,0.06904175270383393,0.17149289992464709,0.27154277082212247
11,DOWNTOWN CORE,NICOLL,CENTRAL REGION,15,0,8,0,22,4,0,15,0,0,0,0.058332578996533095,0.12707695662374657,0.1964646624782325
12,MARINA EAST,MARINA EAST,CENTRAL REGION,38,0,87,1,13,4,0,45,1,0,0,0.0688922969796511,0.17628465216035538,0.2866441180501976
13,RIVER VALLEY,INSTITUTION HILL,CENTRAL REGION,9,0,1,0,31,1,0,1,0,0,0,0.0644254323566522,0.13033161107281252,0.1919464702919015
14,SINGAPORE RIVER,ROBERTSON QUAY,CENTRAL REGION,11,0,1,0,34,1,0,6,0,0,0,0.06514741150833273,0.1286193348327127,0.18933269963172325
15,MUSEUM,FORT CANNING,CENTRAL REGION,26,0,3,0,12,1,0,0,0,0,0,0.053310820882174585,0.13599901657454444,0.2070226712530529
16,OUTRAM,PEARL'S HILL,CENTRAL REGION,26,0,2,0,29,1,0,1,0,0,0,0.05783601533767703,0.12069610510403342,0.17898819605968475
17,SINGAPORE RIVER,BOAT QUAY,CENTRAL REGION,2,0,1,0,12,1,0,3,0,0,0,0.04850026125391687,0.10305347993548436,0.15883095582870585
18,BUKIT MERAH,HENDERSON HILL,CENTRAL REGION,26,0,2,0,33,1,0,1,0,0,0,0.0758230651216256,0.1540585591796296,0.23090797874646277
19,BUKIT MERAH,REDHILL,CENTRAL REGION,11,0,1,1,29,1,0,0,0,0,0,0.07035599241323356,0.14837842756005587,0.21835825318030674
20,BUKIT MERAH,ALEXANDRA HILL,CENTRAL REGION,22,0,1,0,82,1,0,0,0,0,0,0.07588890498428515,0.15235866771695994,0.22277818871443383
21,BUKIT MERAH,BUKIT HO SWEE,CENTRAL REGION,18,0,3,0,34,1,0,1,0,0,0,0.07329069018913152,0.14150305885620043,0.20560584961706324
22,SINGAPORE RIVER,CLARKE QUAY,CENTRAL REGION,3,0,2,0,21,1,0,4,0,0,0,0.050411885613701427,0.11378067136762625,0.16975198306042596
23,QUEENSTOWN,PASIR PANJANG 1,CENTRAL REGION,40,0,1,0,69,1,0,0,0,0,0,0.07920310169173445,0.1583380215842156,0.252152882759429
24,QUEENSTOWN,QUEENSWAY,CENTRAL REGION,46,0,2,0,16,1,0,0,0,0,0,0.0789793717909823,0.19588090980374562,0.2930464628393253
25,MARINE PARADE,MARINA EAST (MP),CENTRAL REGION,94,1,17,0,41,7,0,2,0,0,0,0.07620232432593424,0.17891789876804728,0.3013056349197999
26,SOUTHERN ISLANDS,SOUTHERN GROUP,CENTRAL REGION,4,0,1,0,1,1,0,4,0,0,0,0.06375003845133038,0.20729926406021273,0.3926488928466674
27,SOUTHERN ISLANDS,SENTOSA,CENTRAL REGION,62,0,12,1,36,11,0,35,1,0,0,0.06102923528274548,0.16842796689167253,0.2639310953634121
28,BUKIT MERAH,CITY TERMINALS,CENTRAL REGION,34,0,5,1,244,44,0,20,0,0,0,0.03969855394841378,0.0849000401626262,0.12307889927216845
29,DOWNTOWN CORE,ANSON,CENTRAL REGION,1,0,1,0,10,1,0,1,0,0,0,0.042429515864790934,0.08676896170576716,0.1271040965871113
30,STRAITS VIEW,STRAITS VIEW,CENTRAL REGION,19,0,43,1,19,3,0,32,0,0,0,0.06596294201421642,0.14552334143064455,0.2250393135190791
31,BUKIT MERAH,MARITIME SQUARE,CENTRAL REGION,155,0,34,0,72,4,0,8,0,0,0,0.08857287080166477,0.18456326668145018,0.27428482504374085
32,BUKIT MERAH,TELOK BLANGAH RISE,CENTRAL REGION,25,0,1,0,29,1,0,0,0,0,0,0.08466798477935289,0.17983824808411658,0.27241392921454544
33,DOWNTOWN CORE,TANJONG PAGAR,CENTRAL REGION,2,0,1,0,13,1,0,1,0,0,0,0.042227786740650655,0.09274435805347465,0.13620102810579657
34,BUKIT MERAH,EVERTON PARK,CENTRAL REGION,22,0,1,0,39,3,0,1,0,0,0,0.04994231718842703,0.11006057191981343,0.1656688254744319
35,BUKIT MERAH,TELOK BLANGAH WAY,CENTRAL REGION,12,0,1,0,17,0,0,0,0,0,0,0.0950209685226963,0.19432796514668155,0.29808794178245573
36,DOWNTOWN CORE,MAXWELL,CENTRAL REGION,1,0,0,0,6,0,0,0,0,0,0,0.04246064833566255,0.09480321352047469,0.13835363744520676
37,DOWNTOWN CORE,CECIL,CENTRAL REGION,1,0,0,0,19,1,0,0,0,0,0,0.04198426119289042,0.09748230201884425,0.15301731673086652
38,BUKIT MERAH,KAMPONG TIONG BAHRU,CENTRAL REGION,15,0,1,0,23,1,0,0,0,0,0,0.0700907821002308,0.1550211444173724,0.23412543047211992
39,BUKIT MERAH,TELOK BLANGAH DRIVE,CENTRAL REGION,88,0,3,0,56,1,0,0,0,0,0,0.10096103753979078,0.20339959286218423,0.3124396191351837
40,QUEENSTOWN,PASIR PANJANG 2,CENTRAL REGION,14,0,1,0,71,1,0,1,0,0,0,0.0652869003260129,0.14834826475995525,0.23179165054820228
41,DOWNTOWN CORE,CENTRAL SUBZONE,CENTRAL REGION,13,0,16,0,57,9,0,14,0,0,0,0.053062698436712644,0.11175704846276752,0.17006454645526167
42,BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,CENTRAL REGION,11,0,2,0,42,1,0,0,0,0,0,0.05410112809360819,0.12510378685997306,0.184290074102113
43,DOWNTOWN CORE,BUGIS,CENTRAL REGION,2,0,1,0,26,1,0,1,0,0,0,0.05074663897472423,0.09870906058133273,0.15702029927446787
44,ROCHOR,VICTORIA,CENTRAL REGION,1,0,1,0,21,1,0,1,0,0,0,0.050509877783590805,0.10285634327789023,0.15477412234838694
45,RIVER VALLEY,PATERSON,CENTRAL REGION,11,0,1,0,7,1,0,0,0,0,0,0.07557026454039263,0.1415683009971302,0.20950810145979692
46,MARINE PARADE,EAST COAST,CENTRAL REGION,43,0,7,0,8,2,0,2,0,0,0,0.05455618115235004,0.14167622481947484,0.2384310353714919
47,QUEENSTOWN,NATIONAL UNIVERSITY OF S'PORE,CENTRAL REGION,70,0,3,0,104,1,0,0,0,0,0,0.08456949492925815,0.16637111098017648,0.2556207597700332
48,RIVER VALLEY,ONE TREE HILL,CENTRAL REGION,13,0,0,0,22,1,0,1,0,0,0,0.07495135960939357,0.15263287919137003,0.23395277847342189
49,QUEENSTOWN,COMMONWEALTH,CENTRAL REGION,12,0,2,0,19,1,0,0,0,0,0,0.07374866697497257,0.17715194875770432,0.2617538641287586
50,QUEENSTOWN,DOVER,CENTRAL REGION,53,0,13,0,73,1,0,1,0,0,0,0.08933223533860185,0.16473800619646187,0.24937818758387334
51,TANGLIN,RIDOUT,CENTRAL REGION,123,0,10,0,63,1,0,0,0,0,0,0.09017470783934824,0.20763366575253503,0.3255961435050501
52,NEWTON,CAIRNHILL,CENTRAL REGION,12,0,0,0,34,1,0,1,0,0,0,0.07482406801082254,0.14416186312009946,0.23864722442497732
53,CLEMENTI,CLEMENTI WEST,WEST REGION,11,0,2,0,58,1,0,1,0,0,0,0.06714208079263521,0.13475881160470896,0.22063778511205084
54,NEWTON,MONK'S HILL,CENTRAL REGION,7,0,1,0,11,1,0,0,0,0,0,0.07325643568913988,0.1546964986238796,0.2525934455876655
55,BEDOK,SIGLAP,EAST REGION,57,0,8,0,39,1,0,8,0,0,0,0.05439710348895901,0.1464912485945343,0.23564602945702579
56,CLEMENTI,CLEMENTI WOODS,WEST REGION,36,0,5,0,64,3,0,1,0,0,0,0.07318084435629964,0.14642785463068791,0.2249178423682435
57,PIONEER,PIONEER SECTOR,WEST REGION,20,0,7,0,223,13,0,19,0,0,0,0.04004387460176518,0.07401151554847679,0.10727776705914135
58,JURONG EAST,PENJURU CRESCENT,WEST REGION,10,0,6,0,251,8,0,33,0,0,0,0.03399855501525354,0.07334574642960794,0.1149060753214495
59,NEWTON,ORANGE GROVE,CENTRAL REGION,18,0,1,0,16,1,0,0,0,0,0,0.09091150023702788,0.1527534303965924,0.249016716643757
60,KALLANG,KAMPONG BUGIS,CENTRAL REGION,21,0,12,0,28,3,0,13,0,0,0,0.06918281107798391,0.13589999273757858,0.21757522397147022
61,QUEENSTOWN,KENT RIDGE,CENTRAL REGION,135,0,2,0,46,2,0,1,0,0,0,0.08504611238990697,0.19323883288549953,0.2903201095366265
62,BUKIT MERAH,ALEXANDRA NORTH,CENTRAL REGION,12,0,2,1,15,1,0,1,0,0,0,0.08366172501112012,0.16405630777565217,0.23451688007383564
63,QUEENSTOWN,TANGLIN HALT,CENTRAL REGION,28,0,4,0,25,1,0,0,0,0,0,0.07934988918571385,0.17868101662579897,0.2683084695669354
64,ROCHOR,MACKENZIE,CENTRAL REGION,2,0,1,0,4,1,0,0,0,0,0,0.057068227790296085,0.14249707948571694,0.22874518111348152
65,ROCHOR,SUNGEI ROAD,CENTRAL REGION,1,0,3,0,9,1,0,1,0,0,0,0.053064302389342406,0.1076733323614239,0.17230918476646417
66,QUEENSTOWN,ONE NORTH,CENTRAL REGION,89,0,12,1,99,2,0,1,0,0,0,0.09117612256970768,0.1709034687334395,0.25019444714324424
67,KALLANG,TANJONG RHU,CENTRAL REGION,52,0,20,0,117,5,0,52,0,0,0,0.06850146775082426,0.14114039570567394,0.21895323431971087
68,MARINE PARADE,KATONG,CENTRAL REGION,6,0,5,0,98,1,0,0,0,0,0,0.050985188754645264,0.11534328372336089,0.16979340248697497
69,ORCHARD,BOULEVARD,CENTRAL REGION,11,0,1,0,36,1,0,0,0,0,0,0.08057213759431779,0.1369960453944316,0.2229238197120587
70,NEWTON,ISTANA NEGARA,CENTRAL REGION,42,0,7,0,7,1,0,0,0,0,0,0.06283902037784632,0.154416320479688,0.24732654584727923
71,ROCHOR,LITTLE INDIA,CENTRAL REGION,1,0,1,0,28,1,0,0,0,0,0,0.053963284112048635,0.11156189639147461,0.18057286176794554
72,PIONEER,GUL BASIN,WEST REGION,14,0,5,3,141,13,0,5,0,0,0,0.04131983904223769,0.0678270001685539,0.1010747189214845
73,DOWNTOWN CORE,MARINA CENTRE,CENTRAL REGION,14,0,3,0,60,7,0,8,0,0,0,0.05633863817292019,0.11407876863326188,0.17920056265334844
74,MUSEUM,BRAS BASAH,CENTRAL REGION,4,0,1,0,19,1,0,0,0,0,0,0.05342869970447718,0.1215075696900778,0.1854739871543854
75,ORCHARD,SOMERSET,CENTRAL REGION,7,0,0,0,26,1,0,0,0,0,0,0.06788482926923411,0.13961144035686662,0.23680412013812255
76,ROCHOR,BENCOOLEN,CENTRAL REGION,2,0,1,0,16,1,0,0,0,0,0,0.0519859060794542,0.11219724583276748,0.17503054743168345
77,TANGLIN,CHATSWORTH,CENTRAL REGION,52,0,2,0,82,1,0,1,0,0,0,0.08224714035151401,0.16559103284110652,0.24321773564216667
78,ROCHOR,KAMPONG GLAM,CENTRAL REGION,2,0,0,0,16,1,0,0,0,0,0,0.0568429148688211,0.11354420310341592,0.17897404694183067
79,ROCHOR,SELEGIE,CENTRAL REGION,1,0,0,0,5,1,0,0,0,0,0,0.05275202337464298,0.11481873625858063,0.18155678625058647
80,ROCHOR,MOUNT EMILY,CENTRAL REGION,2,0,0,0,18,1,0,0,0,0,0,0.05523603036999703,0.1323681949742614,0.2066558222063543
81,ROCHOR,ROCHOR CANAL,CENTRAL REGION,5,0,1,0,8,1,0,1,0,0,0,0.0532744400646897,0.10639025112276185,0.16917346405664752
82,QUEENSTOWN,MARGARET DRIVE,CENTRAL REGION,46,0,7,1,51,1,0,1,0,0,0,0.07896519292207416,0.17357026839254622,0.2564315137262125
83,RIVER VALLEY,OXLEY,CENTRAL REGION,4,0,0,0,17,0,0,0,0,0,0,0.06012991837985171,0.13696113471096438,0.2266455964611918
84,DOWNTOWN CORE,CITY HALL,CENTRAL REGION,14,0,6,0,48,2,0,4,0,0,0,0.053144374694264716,0.11265955355673253,0.17019069383623844
85,QUEENSTOWN,MEI CHIN,CENTRAL REGION,16,0,2,0,58,1,0,1,0,0,0,0.0725569808998466,0.16606250815539178,0.2423350632579642
86,RIVER VALLEY,LEONIE HILL,CENTRAL REGION,19,0,1,0,18,1,0,0,0,0,0,0.07160963449213241,0.13735736334436258,0.21053640243199614
87,QUEENSTOWN,PORT,CENTRAL REGION,63,0,12,1,571,87,0,30,0,0,0,0.03382393672928906,0.06486375597875421,0.10334511802431615
88,MUSEUM,DHOBY GHAUT,CENTRAL REGION,6,0,0,0,17,1,0,1,0,0,0,0.05604674565814687,0.1335295320171681,0.21178530587664404
89,GEYLANG,MACPHERSON,CENTRAL REGION,22,0,8,1,95,2,0,1,0,0,0,0.06002119512966249,0.12366440550323837,0.1881552314278194
90,TOA PAYOH,KIM KEAT,CENTRAL REGION,8,0,3,0,26,2,0,0,0,0,0,0.06166748951365745,0.13093260467957404,0.19310494328246397
91,BEDOK,BEDOK NORTH,EAST REGION,66,0,6,1,248,2,0,2,0,0,0,0.08055183810556349,0.14548177174218435,0.22479880929679333
92,TOA PAYOH,TOA PAYOH CENTRAL,CENTRAL REGION,31,0,2,0,77,2,0,1,0,0,0,0.07492515307218982,0.13986146808193797,0.19588469070176479
93,JURONG EAST,JURONG GATEWAY,WEST REGION,10,0,4,0,41,2,0,0,0,0,0,0.06581074466338606,0.14376388928087205,0.22214980642797671
94,BUKIT TIMAH,HOLLAND ROAD,CENTRAL REGION,183,0,28,1,128,1,0,1,0,0,0,0.11760634633433013,0.21072333387806927,0.3355351585445919
95,GEYLANG,KAMPONG UBI,CENTRAL REGION,19,0,3,0,166,2,0,1,0,0,0,0.06275009389131939,0.11579407487848999,0.17027149133850306
96,TOA PAYOH,SENNETT,CENTRAL REGION,7,0,3,1,78,1,0,1,0,0,0,0.051444951053446465,0.11722500832370995,0.1821249410761914
97,TOA PAYOH,POTONG PASIR,CENTRAL REGION,10,0,1,0,51,1,0,4,0,0,0,0.05726026671851344,0.12449581796496896,0.20022885440412486
98,TUAS,TUAS NORTH,WEST REGION,21,0,9,0,295,4,0,0,0,0,0,0.04889138174814735,0.09856656255939991,0.1500582635063332
99,TOA PAYOH,PEI CHUN,CENTRAL REGION,10,0,2,0,30,1,0,0,0,0,0,0.06339914503630745,0.13280876745595166,0.19185728336493652
100,TOA PAYOH,BOON TECK,CENTRAL REGION,9,0,1,0,33,1,0,0,0,0,0,0.06388441319095678,0.12671121717378941,0.1832306808125269
101,JURONG WEST,KIAN TECK,WEST REGION,28,0,11,1,171,2,0,1,0,0,0,0.06673310083323652,0.12001771756830357,0.1936944068428012
102,JURONG WEST,SAFTI,WEST REGION,77,0,19,0,54,2,0,2,0,0,0,0.08211252931639959,0.17818303053483872,0.27917220002861426
103,ROCHOR,FARRER PARK,CENTRAL REGION,2,0,2,0,20,1,0,0,0,0,0,0.06103970626772587,0.12307277950797936,0.19939987824688318
104,NEWTON,NEWTON CIRCUS,CENTRAL REGION,9,0,1,0,12,1,0,0,0,0,0,0.07867158995461221,0.15240139762204927,0.2563674370038141
105,ANG MO KIO,ANG MO KIO TOWN CENTRE,NORTH-EAST REGION,4,0,4,1,24,1,0,1,0,0,0,0.08222082569008178,0.15006868792498512,0.23426862764017403
106,ANG MO KIO,KEBUN BAHRU,NORTH-EAST REGION,31,0,2,0,71,2,0,0,0,0,0,0.0807691896565485,0.15530302990685965,0.23672056240694864
107,SERANGOON,SERANGOON NORTH IND ESTATE,NORTH-EAST REGION,7,0,8,0,78,1,0,1,0,0,0,0.09150945176015274,0.14257550582215373,0.20544786350328034
108,TENGAH,TENGAH INDUSTRIAL ESTATE,WEST REGION,156,0,13,1,10,61,0,1,0,0,0,0.09442471290072153,0.2074749652551625,0.3268868310279327
109,BOON LAY,SAMULUN,WEST REGION,10,0,1,1,164,10,0,11,0,0,0,0.03313925662009181,0.0657677464932702,0.1109483455817005
110,BOON LAY,SHIPYARD,WEST REGION,8,0,5,1,182,17,0,3,0,0,0,0.03815062413022162,0.06926460095297492,0.11298772420536744
111,QUEENSTOWN,GHIM MOH,CENTRAL REGION,17,0,5,0,27,1,0,0,0,0,0,0.08863120533156958,0.16760544601206048,0.242200613200754
112,KALLANG,LAVENDER,CENTRAL REGION,9,0,3,0,64,1,0,1,0,0,0,0.06131226952284517,0.11682993009270012,0.1887588702272107
113,BEDOK,FRANKEL,EAST REGION,34,0,6,0,390,1,0,1,0,0,0,0.06455390388614271,0.12541451681253887,0.18227836563577984
114,CLEMENTI,CLEMENTI NORTH,WEST REGION,27,0,1,0,72,1,0,1,0,0,0,0.07714123823335899,0.14897932139636677,0.2274877385552881
115,BUKIT TIMAH,LEEDON PARK,CENTRAL REGION,75,0,1,0,129,1,0,0,0,0,0,0.09203823872553829,0.17615120682410515,0.26931455478727023
116,GEYLANG,GEYLANG EAST,CENTRAL REGION,33,0,11,0,212,3,0,1,0,0,0,0.06114425449640504,0.1192100777820275,0.17675251877874376
117,JURONG EAST,TEBAN GARDENS,WEST REGION,41,0,16,0,69,1,0,194,0,0,0,0.04386996422055716,0.10345342379994871,0.16836715619804216
118,JURONG EAST,JURONG RIVER,WEST REGION,43,0,31,1,144,9,0,32,0,0,0,0.06150675669538381,0.12393858002036341,0.19209813357357144
119,KALLANG,GEYLANG BAHRU,CENTRAL REGION,17,0,3,0,50,1,0,5,0,0,0,0.05209028149231301,0.1239940089318246,0.19240010173467542
